Taxa,Q1,Q2
80013,0.0367665,0.9632335
80017,0.133124,0.866876
80018,0.0153175,0.9846825
80020,0.3146945,0.6853055
80024,0.967494,0.032506
80027,0.386719,0.613281
80028,0.9687935,0.0312065
80029,0.956213,0.043787
80030,0.9605205,0.0394795
80032,0.9487535,0.0512465
80035,0.998561,0.001439
80036,0.9999915,0.0000085
80037,0.9999915,0.0000085
80038,0.9645125,0.0354875
80039,0.95832,0.04168
80041,0.999991,0.000009
80042,0.8585765,0.1414235
80043,0.7271,0.2729
80045,0.7915785,0.2084215
80046,0.99156,0.00844
80047,0.8983015,0.1016985
80048,0.8387825,0.1612175
80049,0.9931285,0.0068715
80052,0.9847935,0.0152065
80053,0.96868,0.03132
80054,0.268237,0.731763
80056,0.6793565,0.3206435
80057,0.023014,0.976986
80059,0.3874795,0.6125205
80060,0.009912,0.990088
80061,0.754394,0.245606
80062,0.0346375,0.9653625
80063,0.775482,0.224518
80064,0.000009,0.999991
80067,0.255366,0.744634
80068,0.6353555,0.3646445
80069,0.00001,0.99999
80071,0.8205805,0.1794195
80072,0.000009,0.999991
80076,0.4114455,0.5885545
80077,0.6403635,0.3596365
80080,0.0000095,0.9999905
80098,0.000009,0.999991
80101,0.0000085,0.9999915
80103,0.0000085,0.9999915
80104,0.000009,0.999991
80108,0.0000095,0.9999905
80110,0.22286,0.77714
80111,0.7220775,0.2779225
80112,0.0000095,0.9999905
80113,0.000009,0.999991
80114,0.0000095,0.9999905
80115,0.00001,0.99999
80116,0.0000105,0.9999895
80117,0.000009,0.999991
80118,0.00001,0.99999
80119,0.000011,0.999989
80120,0.0985615,0.9014385
80122,0.0000095,0.9999905
80123,0.000009,0.999991
80124,0.1042845,0.8957155
80127,0.1190425,0.8809575
80130,0.034284,0.965716
80131,0.015079,0.984921
80132,0.0000085,0.9999915
80133,0.440347,0.559653
80134,0.0000095,0.9999905
80136,0.000009,0.999991
80138,0.0000085,0.9999915
80139,0.1021585,0.8978415
80140,0.0000095,0.9999905
80141,0.9683895,0.0316105
80142,0.9999905,0.0000095
80144,0.6777195,0.3222805
80145,0.001407,0.998593
80146,0.0000105,0.9999895
80147,0.0000085,0.9999915
80148,0.000009,0.999991
80150,0.9436235,0.0563765
80151,0.9999915,0.0000085
80152,0.9999915,0.0000085
80153,0.999991,0.000009
80154,0.9999895,0.0000105
80155,0.99999,0.00001
80157,0.00001,0.99999
80160,0.00001,0.99999
80162,0.99999,0.00001
80163,0.9998315,0.0001685
80164,0.9602895,0.0397105
80165,0.0080005,0.9919995
80167,0.0000095,0.9999905
80168,0.000077,0.999923
80170,0.000009,0.999991
80171,0.000009,0.999991
80173,0.027298,0.972702
80174,0.00001,0.99999
80175,0.003338,0.996662
80176,0.00001,0.99999
80177,0.000009,0.999991
80180,0.00001,0.99999
80181,0.00001,0.99999
80182,0.0000105,0.9999895
80185,0.00001,0.99999
80187,0.004874,0.995126
80188,0.0000105,0.9999895
80189,0.000009,0.999991
80191,0.9926785,0.0073215
80192,0.971947,0.028053
80194,0.963996,0.036004
80196,0.974857,0.025143
80197,0.9806855,0.0193145
80199,0.9999905,0.0000095
80200,0.936738,0.063262
80201,0.728723,0.271277
80203,0.5774365,0.4225635
80204,0.9217865,0.0782135
80205,0.000011,0.999989
80206,0.869012,0.130988
80208,0.0000095,0.9999905
80209,0.943511,0.056489
80211,0.9393255,0.0606745
80212,0.981366,0.018634
80213,0.963979,0.036021
80214,0.8214545,0.1785455
80218,0.000009,0.999991
80219,0.011207,0.988793
80220,0.000009,0.999991
80229,0.9077975,0.0922025
80231,0.933772,0.066228
80232,0.9828275,0.0171725
80233,0.396039,0.603961
80235,0.866057,0.133943
80236,0.9473275,0.0526725
80237,0.8354645,0.1645355
80238,0.961028,0.038972
80246,0.992665,0.007335
80248,0.8086275,0.1913725
80249,0.3875015,0.6124985
80251,0.0000085,0.9999915
80254,0.9897275,0.0102725
80259,0.9638005,0.0361995
80260,0.9880235,0.0119765
80262,0.2643165,0.7356835
80263,0.7032835,0.2967165
80264,0.000009,0.999991
80266,0.029221,0.970779
80267,0.012101,0.987899
80270,0.495584,0.504416
80271,0.9999905,0.0000095
80272,0.99999,0.00001
80275,0.990785,0.009215
80276,0.9821335,0.0178665
80277,0.9999915,0.0000085
80287,0.989845,0.010155
80288,0.926845,0.073155
80290,0.9448905,0.0551095
80291,0.979597,0.020403
80292,0.9999895,0.0000105
80293,0.986598,0.013402
80294,0.982445,0.017555
80295,0.999991,0.000009
80298,0.7625865,0.2374135
80299,0.7818215,0.2181785
80300,0.790256,0.209744
80301,0.645161,0.354839
80302,0.8276875,0.1723125
80304,0.012557,0.987443
80307,0.000009,0.999991
80312,0.000009,0.999991
80313,0.9186775,0.0813225
80314,0.973625,0.026375
80315,0.946889,0.053111
80316,0.918909,0.081091
80317,0.939825,0.060175
80319,0.886316,0.113684
80320,0.6455365,0.3544635
80322,0.888893,0.111107
80324,0.998665,0.001335
80326,0.7975785,0.2024215
80330,0.133164,0.866836
80331,0.993803,0.006197
80332,0.9347625,0.0652375
80333,0.790934,0.209066
80334,0.000009,0.999991
80335,0.0067255,0.9932745
80336,0.000009,0.999991
80340,0.9999905,0.0000095
80341,0.5934895,0.4065105
80342,0.843177,0.156823
80343,0.9135695,0.0864305
80344,0.98509,0.01491
80345,0.988886,0.011114
80347,0.9793115,0.0206885
80348,0.7577025,0.2422975
80350,0.989134,0.010866
80351,0.9675315,0.0324685
80352,0.970212,0.029788
80354,0.476056,0.523944
80355,0.95559,0.04441
80356,0.9572465,0.0427535
80357,0.99999,0.00001
80358,0.999991,0.000009
80359,0.95873,0.04127
80360,0.935561,0.064439
80361,0.977705,0.022295
80363,0.9999825,0.0000175
80365,0.934241,0.065759
80366,0.4628165,0.5371835
80367,0.0855255,0.9144745
80369,0.99999,0.00001
80370,0.5965085,0.4034915
80371,0.9504165,0.0495835
80372,0.584542,0.415458
80373,0.000009,0.999991
80376,0.90482,0.09518
80378,0.9999915,0.0000085
80382,0.0000085,0.9999915
80383,0.9763645,0.0236355
80384,0.838661,0.161339
80386,0.0000095,0.9999905
80387,0.0000085,0.9999915
80388,0.0000085,0.9999915
80389,0.000011,0.999989
80390,0.0026255,0.9973745
80391,0.009483,0.990517
80394,0.99605,0.00395
80395,0.894921,0.105079
80397,0.9127815,0.0872185
80398,0.9993555,0.0006445
80399,0.864478,0.135522
80401,0.999962,0.000038
80402,0.99999,0.00001
80403,0.999992,0.000008
80404,0.99256,0.00744
80407,0.6672785,0.3327215
80408,0.7667965,0.2332035
80410,0.829751,0.170249
80411,0.697565,0.302435
80413,0.999991,0.000009
80414,0.985039,0.014961
80415,0.924322,0.075678
80419,0.999991,0.000009
80421,0.364597,0.635403
80424,0.000009,0.999991
80426,0.000009,0.999991
80427,0.0000085,0.9999915
80428,0.0000085,0.9999915
80431,0.1682405,0.8317595
80433,0.497274,0.502726
80434,0.00001,0.99999
80435,0.0000095,0.9999905
80436,0.060479,0.939521
80441,0.0000095,0.9999905
80442,0.000009,0.999991
80445,0.000009,0.999991
80446,0.000009,0.999991
80447,0.976255,0.023745
80448,0.000009,0.999991
80451,0.000009,0.999991
80452,0.827231,0.172769
80453,0.7261065,0.2738935
80454,0.8503235,0.1496765
80455,0.728744,0.271256
80456,0.693996,0.306004
80457,0.694622,0.305378
80458,0.7584425,0.2415575
80459,0.7075615,0.2924385
80460,0.7835915,0.2164085
80461,0.726439,0.273561
80462,0.9018405,0.0981595
80463,0.955105,0.044895
80466,0.00001,0.99999
80468,0.587183,0.412817
80470,0.8930005,0.1069995
80472,0.630165,0.369835
