Taxa,Interior,Color,Ratio,Total,Lutein,Alpha,Beta,Lycopene,Phytoene,Zeta
142464,1,1,18.86676457,1923.65251,97.06455139,611.9940507,1219.299988,47.4668498,92.35847118,0
142466,1,1,10.96040304,507.1256198,42.65803351,150.4932993,317.0559409,0,39.57637956,0
142468,1,1,34.3920426,2541.235892,69.0279498,768.6158112,1605.396379,59.14013328,167.2237013,0
142470,1,1,21.3878319,2040.261688,86.9699011,392.8818481,1467.215777,68.00892644,180.1640624,0
142472,1,1,10.42251524,2124.501272,178.6471331,584.4175655,1277.534902,71.31943308,232.5132284,30.03557638
142474,1,1,11.88535311,2024.355489,152.5662966,594.423525,1218.880783,63.12176503,211.0511807,0
142476,2,1,12.91129433,1175.994109,82.8121441,287.7148752,781.4970917,0,106.7821425,0
142490,1,1,2.087875368,59.30237768,28.40321725,15.80394252,43.49843516,0,0,0
142506,1,1,17.42972295,944.4746618,49.77633809,187.8265118,679.7612704,0,76.8868796,0
142508,1,1,14.38865893,2125.474504,141.4912231,660.1383943,1375.730556,72.72325878,89.60555326,0
142510,1,1,19.69552539,1679.007718,82.60147456,530.9258643,1095.953575,45.51288619,52.12827832,0
142512,1,1,5.375427412,113.2663929,21.07114174,25.79215211,87.47424081,0,0,0
142514,2,1,23.65203361,1740.107367,67.4392743,392.4812574,1202.594725,52.27149264,145.0313849,0
142516,1,1,7.830151363,234.222118,29.91284678,68.36549438,165.8566236,0,0,0
142518,1,1,9.260334836,1144.112851,116.4282123,442.9870107,635.1772195,39.36752782,65.94862088,0
142520,2,1,21.08822291,1127.139884,50.05777356,246.3921103,809.2373769,41.4534157,71.51039662,0
142522,1,1,14.36551668,886.8800783,59.86165959,174.586169,685.3575004,52.52155809,26.93640893,0
142524,1,1,5.899568576,172.4370251,24.73525653,35.41904095,110.5083012,0,26.50968298,0
142526,1,1,17.37121892,1843.06514,96.30116996,531.0446969,1141.824009,59.86522727,170.1964342,0
142528,2,1,26.85828145,835.9978087,29.57157257,140.3121403,653.9294786,28.41031447,41.75618981,0
142532,1,1,37.20754444,1808.643113,44.13106701,447.8479898,1194.160647,25.66048357,125.7688705,40.86560605
142534,1,1,34.25058469,2094.534947,56.69561733,760.7506271,1181.107416,35.06062846,152.6769038,0
142536,1,1,36.70678019,2316.535417,59.45799596,630.6433384,1551.86825,53.94697702,134.0238288,0
142538,1,1,29.41771644,3309.278095,106.6069762,1107.654802,2028.478994,75.29862645,173.1442992,0
142540,1,1,26.97151718,2114.526818,71.1377493,420.1310233,1498.562004,42.56564345,195.8337908,0
