SampleID,Genotype,Location,Year,Trial,Plot,Sample,2,Seed Size,ConvZeta,gramtissue,ug_gramdryZeta,ug_gramfreshZeta,ConvAlpha,ug_gramdryAlpha,ug_gramfreshAlpha,ConvBeta,ug_gramdryBeta,ug_gramfreshBeta,ConvPhyto,ug_gramdryPhyto,ug_gramfreshPhyto,avg.ug.fresh450,avg.ug.dry450,Group.Beta,Group.Alpha
24054_1,Brava,Hancock,2022,WI_22,24054,1,84,Small,NA,0.000498197,NA,NA,0.082200914,164.9966586,14.33540949,0.1586951,318.5385661,27.6755955,0.007858162,15.77318829,1.370422377,48.39052566,556.9617701,C,NA
24054_2,Brava,Hancock,2022,WI_22,24054,2,84,Small,0.015204532,0.000518083,29.34764958,2.290405386,0.173477141,334.8439923,26.13253513,0.336861327,650.2066566,50.7446712,0.026991203,52.09817316,4.06594525,82.02002797,1050.947161,C,NA
24054_3,Brava,Hancock,2022,WI_22,24054,3,84,Small,0.026724193,0.0005147,51.92188866,5.482293568,0.132066208,256.5887376,27.09251959,0.250749897,487.1768537,51.43970298,0.022637875,43.98266528,4.644012173,86.91562051,823.1633559,C,NA
24054_4,Brava,Hancock,2022,WI_22,24054,4,84,Small,NA,0.000506198,NA,NA,0.140704527,277.9633378,23.15894986,0.20280765,400.6487406,33.38067591,0.020129631,39.76630806,3.313192098,62.02545389,744.4552666,C,NA
24054_5,Brava,Hancock,2022,WI_22,24054,5,84,Small,0.008341536,0.000507601,16.43325077,1.757157061,0.115804355,228.1404721,24.39436038,0.182830453,360.1852952,38.51350798,0.019726912,38.86302008,4.155503443,69.93779847,654.0709457,C,NA
24054_6,Brava,Hancock,2022,WI_22,24054,6,84,Small,0.018021066,0.000509661,35.35893159,3.055710137,0.145954056,286.3748092,24.74844031,0.246771997,484.1885548,41.84345535,0.032325677,63.42584635,5.48124598,71.61518104,828.6899521,C,NA
24054_7,Brava,Hancock,2022,WI_22,24054,7,84,Small,0.022850456,0.000524936,43.52995508,5.40684125,0.141092013,268.779274,33.38498427,0.209896974,399.8522319,49.66551279,0.038919932,74.14219168,9.209176981,91.89531334,739.8402649,C,NA
24054_8,Brava,Hancock,2022,WI_22,24054,8,84,Small,0.018513379,0.000520729,35.5528019,4.474462662,0.154368642,296.4471197,37.30905857,0.260732413,500.7064379,63.01591271,0.023996776,46.08303245,5.799734397,109.8282658,872.6640209,C,NA
24054_9,Brava,Hancock,2022,WI_22,24054,9,84,Small,0.006382714,0.000517436,12.33527489,1.481025888,0.061143557,118.1664437,14.18756888,0.10815628,209.0235437,25.09626111,0.016354731,31.60726055,3.794902955,68.2367106,568.334821,C,NA
24054_10,Brava,Hancock,2022,WI_22,24054,9,84,Small,0.009296587,0.000517436,17.96664658,2.15715247,0.108954632,210.5664434,25.28150824,0.218536245,422.3445955,50.70849941,0.020034743,38.7192775,4.648802143,110.6123064,992.2642749,C,NA
