"","Sample Name","AlphaVar","BetaVar","LutVar","LycoVar","PhytoVar","ZetaVar"
"1",90001,NA,NA,NA,NA,NA,NA
"2",90002,NA,NA,NA,NA,NA,NA
"3",90003,NA,NA,NA,NA,NA,NA
"4",90004,NA,NA,NA,NA,NA,NA
"5",90005,NA,NA,NA,NA,NA,NA
"6",90006,NA,NA,NA,NA,NA,NA
"7",90007,NA,NA,NA,NA,NA,NA
"8",90008,NA,NA,NA,NA,NA,NA
"9",90009,NA,NA,NA,NA,NA,NA
"10",90010,NA,NA,NA,NA,NA,NA
"11",90011,NA,NA,NA,NA,NA,NA
"12",90013,NA,NA,NA,NA,NA,NA
"13",90014,NA,NA,NA,NA,NA,NA
"14",90015,NA,NA,NA,NA,NA,NA
"15",90016,NA,NA,NA,NA,NA,NA
"16",90017,NA,NA,NA,NA,NA,NA
"17",90018,NA,NA,NA,NA,NA,NA
"18",90019,NA,NA,NA,NA,NA,NA
"19",90020,NA,NA,NA,NA,NA,NA
"20",90021,NA,NA,NA,NA,NA,NA
"21",90022,NA,NA,NA,NA,NA,NA
"22",90023,NA,NA,NA,NA,NA,NA
"23",90024,NA,NA,NA,NA,NA,NA
"24",90029,NA,NA,NA,NA,NA,NA
"25",90030,NA,NA,NA,NA,NA,NA
"26",90031,NA,NA,NA,NA,NA,NA
"27",90032,NA,NA,NA,NA,NA,NA
"28",90034,NA,NA,NA,NA,NA,NA
"29",90035,NA,NA,NA,NA,NA,NA
"30",90036,NA,NA,NA,NA,NA,NA
"31",90037,NA,NA,NA,NA,NA,NA
"32",90038,NA,NA,NA,NA,NA,NA
"33",90039,NA,NA,NA,NA,NA,NA
"34",90040,NA,NA,NA,NA,NA,NA
"35",90041,NA,NA,NA,NA,NA,NA
"36",90042,NA,NA,NA,NA,NA,NA
"37",90043,NA,NA,NA,NA,NA,NA
"38",90044,NA,NA,NA,NA,NA,NA
"39",90045,NA,NA,NA,NA,NA,NA
"40",90046,NA,NA,NA,NA,NA,NA
"41",90047,NA,NA,NA,NA,NA,NA
"42",90048,NA,NA,NA,NA,NA,NA
"43",90049,NA,NA,NA,NA,NA,NA
"44",90050,NA,NA,NA,NA,NA,NA
"45",90051,NA,NA,NA,NA,NA,NA
"46",90052,NA,NA,NA,NA,NA,NA
