"Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
90001,0,18.46858309,13.75358572,0,0,0,18.46858309,1.342819499292
90002,611.9940507,1219.299988,97.06455139,47.4668498,92.35847118,0,1923.65250988,18.8667645651806
90003,150.4932993,317.0559409,42.65803351,0,39.57637956,0,507.12561976,10.9604030408574
90004,768.6158112,1605.396379,69.0279498,59.14013328,167.2237013,0,2541.2358915,34.3920426012711
90005,392.8818481,1467.215777,86.9699011,68.00892644,180.1640624,0,2040.2616875,21.3878319001561
90006,584.4175655,1277.534902,178.6471331,71.31943308,232.5132284,30.03557638,2124.50127228,10.422515241024
90007,594.423525,1218.880783,152.5662966,63.12176503,211.0511807,0,2024.3554887,11.8853531114683
90008,287.7148752,781.4970917,82.8121441,0,106.7821425,0,1175.9941094,12.911294333943
90009,104.3355381,258.7245281,66.61241423,0,18.24053913,0,381.30060533,5.45033640345811
90010,0,92.92626872,91.8621291,321.5898674,239.3528627,0,332.27913142,1.01158409488682
90011,12.40990809,648.6523391,112.4491344,905.6332109,666.7224023,0,1327.78464949,5.87876688173066
90013,0,357.1354716,88.2361899,428.0634891,337.2651407,0,694.4006123,4.04749425382884
90014,0,0,6.790270612,0,0,0,0,0
90015,0,0,10.87121605,0,0,0,0,0
90016,15.80394252,43.49843516,28.40321725,0,0,0,59.30237768,2.08787536841447
90017,0,33.98355858,218.576126,0,0,0,33.98355858,0.155476991938269
90018,0,0,254.1775706,0,0,0,0,0
90019,0,0,205.9026691,0,0,0,0,0
90020,0,0,177.0935149,0,0,0,0,0
90021,0,0,10.81416321,0,0,0,0,0
90022,167.3665999,330.0233661,179.0192506,0,92.83077241,0,590.22073841,2.77841608839804
90023,314.1838393,651.5222879,124.4034235,0,130.6710599,0,1096.3771871,7.76269736017353
90024,187.8265118,679.7612704,49.77633809,0,76.8868796,0,944.4746618,17.4297229464997
90029,660.1383943,1375.730556,141.4912231,72.72325878,89.60555326,0,2125.47450356,14.3886589266469
90030,530.9258643,1095.953575,82.60147456,45.51288619,52.12827832,0,1679.00771762,19.6955253882092
90031,25.79215211,87.47424081,21.07114174,0,0,0,113.26639292,5.3754274124113
90032,392.4812574,1202.594725,67.4392743,52.27149264,145.0313849,0,1740.1073673,23.652033610332
90034,68.36549438,165.8566236,29.91284678,0,0,0,234.22211798,7.83015136281188
90035,442.9870107,635.1772195,116.4282123,39.36752782,65.94862088,0,1144.11285108,9.26033483552852
90036,246.3921103,809.2373769,50.05777356,41.4534157,71.51039662,0,1127.13988382,21.0882229097686
90037,174.586169,685.3575004,59.86165959,52.52155809,26.93640893,0,886.88007833,14.3655166811255
90038,35.41904095,110.5083012,24.73525653,0,26.50968298,0,172.43702513,5.89956857625523
90039,531.0446969,1141.824009,96.30116996,59.86522727,170.1964342,0,1843.0651401,17.3712189228319
90040,140.3121403,653.9294786,29.57157257,28.41031447,41.75618981,0,835.99780871,26.8582814464777
90041,114.8304538,486.8082544,34.82805842,0,98.07771684,0,699.71642504,17.2745405714178
90042,447.8479898,1194.160647,44.13106701,25.66048357,125.7688705,40.86560605,1808.64311335,37.2075444363927
90043,760.7506271,1181.107416,56.69561733,35.06062846,152.6769038,0,2094.5349469,34.2505846932984
90044,630.6433384,1551.86825,59.45799596,53.94697702,134.0238288,0,2316.5354172,36.7067801926636
90045,1107.654802,2028.478994,106.6069762,75.29862645,173.1442992,0,3309.2780952,29.4177164364596
90046,420.1310233,1498.562004,71.1377493,42.56564345,195.8337908,0,2114.5268181,26.971517178714
90047,1195.415791,1515.422185,48.02116275,78.74448035,320.6349528,0,3031.4729288,56.4509024929847
90048,282.6862811,413.3016032,31.48920967,13.72240204,14.5208122,0,710.5086965,22.1024246589165
90049,322.7541271,835.9404862,111.7860467,43.40672037,54.29674939,0,1212.99136269,10.3652884014191
90050,138.1038215,387.7284312,68.30407963,16.87589227,30.31947331,0,556.15172601,7.6984018458108
90051,103.3833605,213.0096092,79.03955487,0,0,0,316.3929697,4.00297003469195
90052,166.9626062,501.3765617,71.94529557,23.17518255,70.73125323,0,739.07042113,9.28954648952316
90053,165.871747,292.0665196,102.0742893,6.49722633,0,0,457.9382666,4.48632334097476
90054,0,0,58.91269609,0,0,0,0,0
90055,0,0,16.47688008,0,0,0,0,0
90056,0,26.1901843,172.0756619,0,0,0,26.1901843,0.152201560701944
90057,0,112.1064525,79.70940593,304.9840011,150.2182618,0,262.3247143,1.40643944327537
90058,13.83890173,253.6490612,130.0621342,7.083000492,69.66195498,0,337.14991791,2.05661674379936
90059,0,0,54.76827152,0,0,0,0,0
90060,0,0,39.30935673,0,0,0,0,0
90061,0,0,96.34292372,0,0,0,0,0
90062,0,0,32.60586011,44.7626504,16.2760526,0,16.2760526,0
90063,228.0218477,602.4151347,102.3000506,23.7004044,97.54115128,0,927.97813368,8.11765954688589
90064,0,0,101.4997765,0,0,0,0,0
90066,0,89.3302018,43.14765699,42.20276432,56.77657399,0,146.10677579,2.07033725656768
90067,0,17.17667811,103.1679925,0,0,0,17.17667811,0.166492316984844
90068,31.20911209,187.4215029,85.49997566,8.72724005,30.42820395,0,249.05881894,2.55708394420378
90069,223.1433237,365.6699401,138.202468,11.81286345,87.12811211,0,675.94137591,4.26051193094468
90070,87.54462657,203.1770497,30.59237582,5.722323059,24.68637606,0,315.40805233,9.50307612525924
90071,46.10216849,139.8514286,20.26405297,6.349671874,22.69286857,0,208.64646566,9.17652541499451
90072,0,0,83.66507922,0,0,0,0,0
90073,0,0,115.8662713,0,0,0,0,0
90074,0,0,22.4064953,0,0,0,0,0
90075,0,59.68907865,110.2767379,0,0,0,59.68907865,0.541266270535919
90076,184.3499384,672.0265295,156.2134876,26.4046776,185.5867456,0,1041.9632135,5.48209044594687
90077,411.9475744,817.2851174,79.27349818,52.62241378,81.29549176,0,1310.52818356,15.5062249051868
90078,0,0,12.39571205,0,0,0,0,0
90079,82.44633492,249.4501014,124.1155709,0,0,0,331.89643632,2.67409184772964
90080,440.8308094,596.623218,116.5687538,0,76.76307378,0,1114.21710118,8.89993238822804
90081,41.11088591,199.4610192,42.03829464,0,30.54789674,0,271.11980185,5.72268468952336
90082,173.8582707,377.6644276,73.4503842,0,169.4204139,0,720.9431122,7.50877894386834
90083,210.8449579,430.4582861,143.0748923,0,59.16688968,0,700.47013368,4.48229059404296
90084,46.40856381,130.2407106,67.49571984,0,0,0,176.64927441,2.61719224313409
90085,269.1516022,783.1421315,121.397063,0,140.7072136,39.31187255,1232.31281985,8.6681976292952
90086,0,0,130.2810359,0,0,0,0,0
90087,133.972615,443.8647063,117.6456927,0,90.18870235,0,668.02602365,4.91167426565716
90088,25.58013521,133.8416952,100.639005,0,31.09434995,0,190.51618036,1.58409585239838
90089,0,0,51.76744775,0,0,0,0,0
90090,0,40.00135945,131.50825175,NA,0,0,40.00135945,0.304173760335917
90091,0,0,118.43690225,NA,0,0,0,0
90092,0,23.319981005,NA,NA,0,0,23.319981005,NA
90093,0,0,77.770914405,NA,0,0,0,0
90094,0,0,119.59943485,NA,0,0,0,0
90096,0,0,101.380929005,NA,0,0,0,0
90098,0,26.641394135,162.7176894,NA,0,0,26.641394135,0.163727706761549
90099,0,0,17.05746445,NA,0,0,0,0
90101,0,0,112.53860655,NA,0,0,0,0
90103,0,0,NA,NA,0,0,0,NA
90105,42.947924355,398.37410815,209.834525,NA,68.0498942,0,509.371926705,2.10319075235593
90106,55.568230125,248.41283255,30.387436445,NA,25.135315725,0,329.1163784,10.0035112611488
90107,0,0,124.80470345,NA,0,0,0,0
90108,0,78.157884645,106.91023355,NA,0,0,78.157884645,0.731060835335721
90109,0,0,63.81427391,NA,0,0,0,0
90110,0,0,36.340364095,NA,0,0,0,0
90111,205.8577721,646.43787135,53.425918635,33.25430979,56.54685071,0,908.84249416,15.9528495761166
90112,222.72926995,741.93114465,85.9845517,NA,113.67381435,0,1078.33422895,11.2189968491747
90113,102.7667635,283.8682114,115.7759424,NA,52.791423385,0,439.426398285,3.33951049661246
90114,0,78.45472139,158.79697895,NA,0,0,78.45472139,0.49405676297345
90115,0,48.3788265,158.8510997,NA,0,0,48.3788265,0.304554558271025
90117,0,125.01563015,177.4834243,NA,19.670569155,0,144.686199305,0.704379187200526
90118,63.725646485,415.5530529,129.47922055,NA,229.17209235,56.641272295,765.09206403,3.70158777098848
90119,101.32330834,458.2076198,143.32563945,NA,29.884768955,0,589.415697095,3.90391370509249
90120,0,0,19.501848325,NA,0,0,0,0
90122,89.464494855,691.751315,217.92617735,NA,92.465684905,0,873.68149476,3.58477269392162
90123,0,0,46.14672272,NA,0,0,0,0
90125,0,0,39.834422415,NA,0,0,0,0
90127,0,147.093329,NA,389.70694185,271.7392728,0,418.8326018,NA
90128,0,91.85948349,63.04026943,NA,30.223154795,0,122.082638285,1.45715562957739
90130,686.2093533,1540.3021165,NA,NA,208.21183805,0,2434.72330785,NA
90131,0,0,18.329967875,NA,0,0,0,0
90132,0,0,145.2127145,NA,0,0,0,0
90133,0,48.49315921,187.3739359,NA,0,0,48.49315921,0.258804187343753
90134,0,42.05806733,NA,NA,0,0,42.05806733,NA
90135,0,145.6278998,NA,NA,75.95194653,0,221.57984633,NA
90136,436.60014535,873.35709465,144.784061,NA,73.229416245,0,1383.186656245,9.04766195223658
90137,18.535855475,109.97940915,179.030727,NA,0,0,128.515264625,0.717839148499911
90138,291.4845301,619.0063369,127.86780845,NA,57.68909269,0,968.17995969,7.12056363549883
90139,367.60231045,565.77264335,155.7421532,NA,88.049286075,0,1021.424239875,5.99307852512726
90140,28.22936086,86.34731644,102.89488413,NA,0,0,114.5766773,1.11353133121022
90141,14.52139835,105.4631227,NA,NA,20.856294085,0,140.840815135,NA
90142,31.04334543,88.27151825,NA,NA,0,0,119.31486368,NA
90143,0,0,NA,NA,0,0,0,NA
90144,145.40022165,323.35667175,NA,NA,25.26529855,0,494.02219195,NA
90145,0,32.451138355,71.635089585,NA,0,0,32.451138355,0.453006180951229
90146,0,51.389478755,177.1765814,NA,0,0,51.389478755,0.290046677438602
90147,0,0,100.433913975,NA,0,0,0,0
90148,0,160.02466895,58.872068355,120.4055077,275.88042145,0,435.9050904,2.71817643615046
90149,0,363.8217119,73.402072685,241.6737288,264.9323703,0,628.7540822,4.95655910782405
90150,481.0582908,1394.1113895,112.58724925,NA,239.30416085,0,2114.47384115,16.6552579691878
90151,344.51369615,1316.732265,134.8261601,90.679870425,107.1090521,0,1768.35501325,12.3213919310456
90152,170.7544409,803.1836577,75.309841235,NA,103.3783601,0,1077.3164587,12.9324147100627
90153,489.96359025,1503.7374775,105.05717485,95.87906734,84.19063222,0,2077.89169997,18.9772956544529
90154,588.8198969,1127.3794315,162.82041935,114.8932818,91.41324769,0,1807.61257609,10.5404428710557
90155,66.443839135,188.8798586,NA,NA,0,0,255.323697735,NA
90156,0,0,NA,NA,0,0,0,NA
