"Sample.Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
80001,4.345264218,7.4445329135,1.644238236,NA,0,0,11.7897971315,7.17037037174216
80002,37.120507025,65.945640545,48.308723405,NA,10.793855355,21.00615389,134.866156815,2.1334893639382
80003,57.0016745,99.943655645,17.640943845,NA,9.0793282425,13.36672713,179.3913855175,8.89665153542696
80004,189.3269981,287.99275325,32.24578853,NA,55.736026895,49.27824523,582.334023475,14.8025454829837
80005,34.820705665,75.957544145,6.0727455555,NA,4.827272267,0,115.605522077,18.2418724442801
80006,186.23925825,273.05865345,47.201936625,NA,55.23352086,74.02509755,588.55653011,9.73048871593836
80007,196.40820935,137.99803685,29.012563,NA,8.335484951,9.141925745,351.883656896,11.5262566151084
80008,102.4962592,177.6113444,40.95608425,NA,19.994624095,29.426366835,329.52859453,6.83921836595011
80009,0,NA,0.42846586,0.0146800665,0,0,NA,NA
80011,4.4945255165,57.81284807,41.242124055,48.5595897,34.929655655,5.4719698995,102.708999141,1.51077023829829
80013,0,NA,1.466524699,1.5824272395,0,0,NA,NA
80017,6.760185459,9.171870212,4.3796808655,NA,0,0,15.932055671,3.63772068337247
80018,0,0,1.753930831,NA,0,0,0,0
80020,0,0,1.634281488,NA,0,0,0,0
80024,52.50918318,145.4076196,34.637975415,NA,8.9293097915,24.500061755,231.3461743265,5.71386752281982
80027,256.79374965,187.45462515,50.77543894,NA,28.83725921,17.11643624,490.20207025,8.7492768959606
80028,197.2256615,316.5325454,NA,NA,20.334861105,19.33270063,553.425768635,NA
80029,61.76554517,122.0740253,41.418822635,NA,13.083087585,16.788980855,213.71163891,4.43855133425861
80030,89.44252109,170.32320305,37.16568667,NA,9.5964064195,18.87880765,288.2409382095,6.98939660247639
80032,143.0343741,323.2683598,36.34347205,NA,18.96064809,28.34188621,513.6052682,12.8304399001416
80033,128.93077615,171.29957885,17.474630525,5.1473241945,6.8021296545,0,307.0324846545,17.1809272058987
80034,2.7556923,4.368065454,NA,NA,0,0,7.123757754,NA
