TechRep,Sample.Name,Standard,TissueWeight,Solvent,Area.Xanthophyll,Lutein Conversion,ug/g dry Lutein,Area.Lycopene,Lycopene Conversion,ug/g dry Lycopene,Area.zeta-Carotene,Zeta Conversion,ug/g dry Zeta,Area.alpha-Carotene,Alpha Conversion,ug/g dry Alpha,Area.beta-Carotene,Beta Conversion,ug/g dry Beta,Area.Phytoene,Phytoene Conversion,ug/g dry Phytoene,Total
80001,80001,66860.04298,0.1,1.893778452,5862,0.087675684,1.660383211,32,0.000478612,0.009063846,,0,0,14801,0.221372876,4.192311824,25471,0.38095997,7.214537832,,0,0,13.07629671
80001B,80001,66860.04298,0.1,1.893778452,5748,0.08597063,1.628093261,,0,0,,0,0,15881,0.237526021,4.498216612,27095,0.405249515,7.674527995,,0,0,13.80083787
80002,80002,66860.04298,0.1,1.921092564,162217,2.426217405,46.60988217,4543,0.067947907,1.305342194,71174,1.064522199,20.45045682,125139,1.871655991,35.95624408,222095,3.321789668,63.81465433,36471,0.545482748,10.47922852,178.6158081
80002B,80002,66860.04298,0.1,1.921092564,174042,2.603079392,50.00756464,5568,0.083278439,1.599855896,75042,1.122374391,21.56185096,133243,1.992864408,38.28476997,236928,3.543641156,68.07662676,38661,0.578237738,11.10848219,190.6391504
80003,80003,66860.04298,0.101,1.874051593,61605,0.921402339,17.09658933,5550,0.08300922,1.540233273,47576,0.711575971,13.20326814,199544,2.984503017,55.37735282,351937,5.263786625,97.66938329,31887,0.47692162,8.84926457,193.7360914
80003B,80003,66860.04298,0.101,1.874051593,65528,0.980077144,18.18529836,4050,0.060574295,1.12395401,48754,0.729194865,13.53018612,211250,3.159585166,58.62599618,368327,5.508925564,102.217928,33545,0.501719689,9.309391915,202.9927546
80004,80004,66860.04298,0.101,1.884673748,114019,1.705338419,31.82184703,17381,0.259960946,4.850906632,175146,2.619591496,48.88193389,675523,10.10353823,188.5333986,1015220,15.18425587,283.3402814,197742,2.957551195,55.18830788,612.6166754
80004B,80004,66860.04298,0.101,1.884673748,117057,1.750776619,32.66973003,8153,0.121941292,2.275441101,177986,2.662068286,49.67455657,681210,10.1885965,190.1205976,1048560,15.68290945,292.6452251,201667,3.016255913,56.28374591,623.6692963
80005,80005,66860.04298,0.1,1.834597876,21581,0.322778734,5.921691789,4764,0.071253319,1.307211885,,0,0,123496,1.847082271,33.8865321,269873,4.036386876,74.05146787,16966,0.25375395,4.655364575,119.8222682
80005B,80005,66860.04298,0.1,1.834597876,22682,0.339245968,6.223799322,6424,0.096081302,1.76270553,,0,0,130305,1.94892187,35.75487923,283766,4.244179144,77.86362042,18219,0.27249459,4.999179959,126.6041845
80006,80006,66860.04298,0.101,1.884673748,165455,2.474646929,46.17724853,22374,0.33463933,6.244415453,260989,3.903512298,72.84007082,653124,9.76852498,182.2820058,956270,14.30256335,266.8877789,192387,2.877458515,53.69376757,628.1252871
80006B,80006,66860.04298,0.101,1.884673748,172798,2.584473361,48.22662472,24441,0.365554656,6.821299637,269481,4.030523882,75.21012428,681482,10.1926647,190.1965107,1000491,14.96395987,279.229528,203421,3.042489818,56.77327415,656.4573616
80007,80007,66860.04298,0.101,1.798179059,104306,1.560064806,27.77500857,10801,0.161546411,2.876132414,33837,0.506087021,9.010248356,711304,10.63870091,189.4088039,497105,7.435008681,132.3710586,30023,0.449042487,7.994641558,369.4358933
80007B,80007,66860.04298,0.101,1.798179059,113601,1.699086554,30.25011743,9616,0.143822821,2.560585991,34826,0.520879115,9.273603134,763875,11.42498518,203.4076148,539368,8.067120151,143.6250151,32583,0.487331425,8.676328344,397.7932648
80008,80008,66860.04298,0.101,1.871016692,145418,2.17496121,40.29097751,6735,0.10073281,1.866067017,105618,1.579687887,29.26358816,363678,5.439392256,100.7642941,627878,9.390930248,173.9662104,70906,1.060513826,19.64593139,365.7970686
80008B,80008,66860.04298,0.101,1.871016692,150219,2.246767925,41.62119099,10919,0.163311292,3.02532825,106793,1.597261911,29.58914551,376180,5.626379871,104.2282243,654190,9.784468733,181.2564784,73423,1.098159629,20.3433168,380.0636843
80009,80009,66860.04298,0.1,1.834597876,1558,0.023302408,0.427505482,107,0.001600358,0.029360133,,0,0,,0,0,248,0.003709241,0.068049653,,0,0,0.524915268
80009B,80009,66860.04298,0.1,1.834597876,1565,0.023407104,0.429426238,,0,0,,0,0,,0,0,565,0.008450488,0.155032476,,0,0,0.584458714
80010,80010,66860.04298,0.102,1.802731411,8973,0.134205717,2.371930014,104,0.001555488,0.027491443,,0,0,,0,0,,0,0,,0,0,2.399421457
80010B,80010,66860.04298,0.102,1.802731411,9895,0.147995717,2.615652233,,0,0,,0,0,,0,0,289,0.004322462,0.076394492,,0,0,2.692046725
80011,80011,66860.04298,0.101,1.842185129,143731,2.149729399,39.20989633,172443,2.579163762,47.04254582,20367,0.304621402,5.55612887,15853,0.237107236,4.324707172,205425,3.072462877,56.04005367,123312,1.844330253,33.63958184,185.8129137
80011B,80011,66860.04298,0.101,1.842185129,158630,2.372568023,43.27435178,183565,2.745511247,50.07663358,19750,0.295393169,5.387810929,17098,0.255728223,4.664343861,218422,3.266854017,59.58564247,132770,1.985789929,36.21972947,199.2085121
80013,80013,66860.04298,0.1,1.804248862,5079,0.075964654,1.370591397,5919,0.088528211,1.597269241,,0,0,,0,0,5688,0.085073233,1.534932834,,0,0,4.502793472
80013B,80013,66860.04298,0.1,1.804248862,5790,0.086598808,1.562458001,5809,0.086882983,1.567585238,,0,0,,0,0,6645,0.099386714,1.793183664,,0,0,4.923226903
80017,80017,66860.04298,0.101,1.698027314,17032,0.254741087,4.282745773,319,0.004771161,0.080213475,,0,0,26219,0.392147519,6.592843555,35909,0.53707713,9.029422145,,0,0,19.98522495
80017B,80017,66860.04298,0.101,1.698027314,17803,0.266272638,4.476615958,857,0.01281782,0.215495134,,0,0,27550,0.412054775,6.927527363,37042,0.554022976,9.314318279,,0,0,20.93395674
80018,80018,66860.04298,0.1,1.814871017,6426,0.096111216,1.744294594,,0,0,,0,0,,0,0,,0,0,,0,0,1.744294594
80018B,80018,66860.04298,0.1,1.814871017,6497,0.097173135,1.763567068,,0,0,,0,0,,0,0,,0,0,,0,0,1.763567068
80020,80020,66860.04298,0.101,1.828528073,5731,0.085716367,1.551829543,,0,0,,0,0,,0,0,,0,0,,0,0,1.551829543
80020B,80020,66860.04298,0.101,1.828528073,6340,0.094824947,1.716733433,,0,0,,0,0,,0,0,,0,0,,0,0,1.716733433
80024,80024,66860.04298,0.1,1.849772382,121006,1.809840296,33.47792597,6653,0.099506367,1.840641303,86756,1.297576192,24.00220605,186661,2.791816931,51.64225856,513378,7.678397696,142.03288,31077,0.464806761,8.597867092,261.593779
80024B,80024,66860.04298,0.1,1.849772382,129392,1.93526648,35.79802486,8856,0.132455793,2.450130674,90355,1.351405054,24.99791746,192928,2.885550045,53.3761078,537774,8.043279305,148.7823592,33473,0.500642813,9.260752491,274.6652925
80027,80027,66860.04298,0.101,1.816388467,184471,2.759061942,49.619092,23694,0.354382064,6.373222706,63261,0.946170496,17.01597204,942579,14.09779231,253.5353205,689669,10.31511452,185.5074757,106359,1.590770739,28.60849134,540.6595744
80027B,80027,66860.04298,0.101,1.816388467,193069,2.887658927,51.93178588,30188,0.451510329,8.119981727,64008,0.957343088,17.21690044,966807,14.46016121,260.0521788,704147,10.53165641,189.4017746,108060,1.616211943,29.06602708,555.7886486
80028,80028,66860.04298,0.101,1.802731411,87045,1.301898655,23.23736236,23307,0.348593853,6.221990977,68222,1.020370268,18.21241123,701833,10.4970468,187.3599603,1120234,16.75490996,299.0554701,71905,1.075455486,19.19561768,553.2828126
80028B,80028,66860.04298,0.101,1.802731411,101806,1.522673266,27.17792995,27181,0.406535784,7.256186414,76615,1.145901148,20.45299003,775745,11.60252021,207.0913627,1251169,18.7132545,334.0096207,80440,1.203110205,21.47410453,617.4621943
80029,80029,66860.04298,0.101,1.775417299,153333,2.293342827,40.31327255,7579,0.113356194,1.992619284,61751,0.923586005,16.23515416,227877,3.408268823,59.91187552,450464,6.737417147,118.4329401,48244,0.721566991,12.68398532,249.569847
80029B,80029,66860.04298,0.101,1.775417299,161743,2.419127969,42.52437272,7250,0.108435467,1.906120835,65964,0.986598229,17.34280755,241978,3.619172068,63.61921482,478162,7.151685501,125.7151105,51280,0.766975277,13.48218985,264.5898162
80030,80030,66860.04298,0.1,1.793626707,135647,2.028820114,36.3894594,15610,0.233472778,4.187630108,69104,1.033562004,18.53824414,328611,4.914908596,88.15511322,626009,9.362976332,167.9368441,35131,0.525440883,9.424448002,324.6317389
80030B,80030,66860.04298,0.1,1.793626707,141434,2.115374051,37.94191394,16593,0.248175132,4.45133545,71643,1.071536852,19.21937116,338209,5.058462198,90.72992896,643800,9.629069491,172.709562,36413,0.544615265,9.768364837,334.8204764
80031,80031,66860.04298,0.102,1.827010622,125538,1.877623681,33.63174911,20580,0.307807161,5.513401494,64893,0.970579693,17.38489617,517068,7.73358761,138.523007,621921,9.301833685,166.613225,101307,1.515209914,27.14024126,388.80652
