,Sample Name,ID,Exterior,Interior,Color,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g),
78,80106,PI 174828,NA,Yellow,NA,0,31.75368395,15.31105553,NA,0,0,Color and HPLC Wrong
100,80135,PI 179689,Yellow,White,Yellow,0,25.67598502,23.27402491,NA,0,0,Color and HPLC Wrong
112,80149,PI 183401,Yellow,White,Yellow,0,29.21803803,8.165325201,NA,0,0,Color and HPLC Wrong
118,80155,PI 196847,Orange,Yellow,Orange,15.18268583,37.52782722,26.59345942,NA,0,0,Color Wrong
148,80198,PI 225871,Orange,Orange,Orange,19.03602508,36.32683126,8.132453457,NA,0,0,HPLC Wrong
159,80212,PI 234620,Orange,Yellow,Orange,23.45264395,27.28679406,24.78008199,NA,0,0,Color Wrong
182,80238,PI 263024,Orange,Orange,Orange,55.13548646,32.10998166,10.79890965,NA,0,0,OK
208,80271,PI 276325,Orange,Yellow,Orange,35.32563124,41.28378007,11.705463,NA,0,0,Color Wrong
212,80275,PI 277709,Orange,Orange,Orange,34.02257791,25.35309828,5.511188984,NA,0,0,OK
218,80290,PI 284773,Orange,Orange,Orange,16.96081145,49.78662911,12.05385768,NA,0,0,OK
233,80308,PI 288458,NA,NA,NA,0,27.38468067,18.5750693,NA,0,0,Color and HPLC Wrong
239,80317,PI 294081,Orange,Orange,Orange,25.85766607,45.50719243,8.825947063,NA,0,0,OK
251,80335,PI 319859,Red,Yellow,Red,0,31.5021057,117.3993761,52.33504474,24.75082856,0,Color Wrong
276,80365,PI 326007,Orange,Orange,Orange,26.23796178,46.1399402,9.857346586,NA,0,0,Ok
301,80397,PI 357980,Orange,Yellow,Orange,25.58360209,45.71122891,14.02851202,NA,0,0,Color Wrong
323,80429,PI 419184,Orange,Orange,Orange,23.67236351,45.59466351,4.425600087,NA,0,0,HPLC Wrong
338,80450,PI 432906,Orange,Yellow,Orange,6.480472139,49.97722039,147.6124954,NA,19.16773737,0,Color and HPLC Wrong
357,80470,PI 483350,Orange,Orange,Orange,19.73232354,34.6189402,4.673991004,NA,0,0,OK
358,80472,PI 483352,Orange,Yellow,Orange,44.35692519,36.00190632,7.478620573,NA,0,0,Color Wrong
368,80486,PI 502919,Orange,Orange,Orange,13.72629178,38.50299404,5.083918436,NA,0,0,OK
372,80490,PI 503344,Orange,Orange,Orange,12.37280095,46.8334447,10.24095886,NA,0,0,OK
393,80560,PI 634658,Orange,Orange,Orange,13.28542797,28.06862805,4.633065458,NA,0,0,HPLC Wrong
425,80607,PI 652153,Orange,Orange,Orange,25.65413297,31.22682434,5.349459011,NA,0,0,OK
465,80657,PI 652217,Orange,Orange,Orange,25.25850775,44.12668272,13.18902882,0,0,0,Ok
480,80685,PI 652276,Orange,Yellow,Orange,0,28.07864467,13.47950863,NA,0,0,Color Wrong
499,80716,PI 652405,NA,Yellow,NA,24.21795073,41.57759698,85.15743018,NA,0,0,Color and HPLC Wrong
531,80756,F3513,Orange,Orange,Orange,20.47236252,26.62076555,4.262968729,NA,0,0,HPLC Wrong
541,80767,Y8519,Orange,Orange,Orange,14.21288624,47.71483506,106.4523312,NA,0,0,HPLC Wrong
545,80773,W255B,Orange,Orange,Orange,13.82623821,27.44469388,5.350826516,NA,0,0,HPLC Wrong
