Sample.Name,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g)
80002,37.12050703,65.94564055,48.30872341,NA,10.79385536,21.00615389
80003,57.0016745,99.94365565,17.64094385,NA,9.079328243,13.36672713
80004,189.3269981,287.9927533,32.24578853,NA,55.7360269,49.27824523
80005,34.82070567,75.95754415,6.072745556,NA,4.827272267,0
80006,186.2392583,273.0586535,47.20193663,NA,55.23352086,74.02509755
80007,196.4082094,137.9980369,29.012563,NA,8.335484951,9.141925745
80008,102.4962592,177.6113444,40.95608425,NA,19.9946241,29.42636684
80009,0,NA,0.42846586,0.014680067,0,0
80010,0,NA,2.493791124,NA,0,0
80011,4.494525517,57.81284807,41.24212406,48.5595897,34.92965566,5.4719699
80013,0,NA,1.466524699,1.58242724,0,0
80017,6.760185459,9.171870212,4.379680866,NA,0,0
80018,0,0,1.753930831,NA,0,0
80020,0,0,1.634281488,NA,0,0
80024,52.50918318,145.4076196,34.63797542,NA,8.929309792,24.50006176
80027,256.7937497,187.4546252,50.77543894,NA,28.83725921,17.11643624
80028,197.2256615,316.5325454,NA,NA,20.33486111,19.33270063
80029,61.76554517,122.0740253,41.41882264,NA,13.08308759,16.78898086
80030,89.44252109,170.3232031,37.16568667,NA,9.59640642,18.87880765
80032,143.0343741,323.2683598,36.34347205,NA,18.96064809,28.34188621
80033,128.9307762,171.2995789,17.47463053,5.147324195,6.802129655,0
80035,111.2931886,245.6370693,32.37223161,NA,19.79276051,33.5647771
80036,145.3688912,359.9343391,50.10642277,NA,42.08957927,51.42830157
80037,149.6379537,240.2121543,29.54851549,NA,15.74816887,26.37659883
80038,119.2697967,240.9193758,50.46611225,NA,13.72755,45.64460758
80039,165.3009654,295.9105097,NA,NA,10.55023669,33.66741866
80041,166.2820225,306.9946904,47.52295057,7.269721165,18.59880516,26.205627
80042,75.6734784,174.7336348,16.50364321,NA,6.834426894,17.17960056
80043,140.088984,143.0095445,7.119282571,NA,9.894361278,NA
80045,68.32906089,71.12378377,5.397967337,NA,4.858797545,0
80046,156.1602469,169.3234325,31.28428617,NA,8.25995889,6.104484221
80047,377.466946,532.2490698,46.08920429,8.989898536,24.95643258,52.62893027
80048,371.5431942,552.4493296,22.77946478,NA,24.44521331,21.25317365
80049,497.9424323,265.804542,49.19009796,NA,18.60137785,28.03731526
80052,63.24327248,127.3152534,13.78999878,5.204341705,5.89519639,0
80053,392.7905487,561.2916883,35.18187384,9.48562669,24.72226722,21.24208817
80054,0,0,8.904615844,NA,0,0
80056,21.73093472,40.30072211,17.72508163,NA,2.297314115,0
80057,NA,NA,6.439424137,NA,0,0
80059,0,3.432411321,32.24140532,NA,0,0
80060,0,NA,25.37914243,NA,0,0
80061,0,NA,4.304343011,NA,0,0
80062,0,0,2.421138443,NA,0,0
80063,26.63997928,47.04592857,15.71971991,NA,0,0
80064,0,0,5.262259428,NA,0,0
80065,107.5194991,104.0323155,10.62061893,NA,5.009172781,0
80067,NA,6.504445181,14.42630717,NA,0,0
80068,0,0,1.353608741,NA,0,0
80069,12.24345224,28.42895562,11.96588165,NA,0,0
80071,16.10974304,24.08989405,6.075845308,NA,0,0
80072,0,0,NA,NA,0,0
80076,0,0,4.277030977,NA,0,0
80077,49.50660204,89.24484066,7.926652704,NA,0,0
80080,90.65989116,80.61083221,43.21133174,NA,0,0
80081,0,0,25.8800403,NA,0,0
80083,16.5329816,22.74166558,23.03283365,NA,0,0
80084,25.19943588,28.29494401,14.44950147,NA,0,0
80085,0,0,6.096712223,NA,0,0
80086,0,0,21.78967554,NA,0,0
80087,0,5.198762681,21.20549717,NA,0,0
80088,0,0,5.190911327,NA,0,0
80090,0,0,7.167747625,NA,0,0
80091,0,0,9.135658644,NA,0,0
80093,0,0,15.22839603,NA,0,0
80094,0,0,10.19144459,NA,0,0
80096,0,0,18.41666088,NA,0,0
80098,7.586886176,11.04257739,21.35120266,NA,0,0
80101,0,0,14.71965424,NA,0,0
80103,0,0,8.994641321,NA,0,0
80104,0,0,6.719321468,NA,0,0
80108,0,0,32.78288056,NA,0,0
80110,0,0,7.211846938,NA,0,0
80111,21.2886112,74.7494214,26.77289328,NA,0,0
80112,0,0,28.7023616,NA,0,0
80113,0,0,23.38416742,NA,0,0
80114,0,0,15.90490684,NA,0,0
80115,0,0,20.2060043,NA,0,0
80116,0,0,12.25507665,NA,0,0
80117,0,11.61719641,54.23311027,NA,0,0
80118,0,0,21.22282823,NA,0,0
80119,0,0,13.41526519,NA,0,0
80120,0,0,1.98543091,NA,0,0
80122,0,0,22.46960583,NA,0,0
80123,0,0,27.63456919,NA,0,0
80124,0,0,4.050878608,NA,0,0
80127,0,0,37.53746429,NA,0,0
80130,0,11.6287243,24.88077769,NA,0,0
80131,0,0,29.23814789,NA,0,0
80132,0,0,7.296636083,NA,0,0
80133,0,0,4.824016144,NA,0,0
80134,0,0,3.054283728,NA,0,0
80136,0,19.61473977,30.18119706,NA,0,0
80138,0,0,10.78770149,NA,0,0
80139,0,0,21.73556371,NA,0,0
80140,0,0,4.213676638,NA,0,0
80141,6.934670753,66.87121155,7.165858621,NA,0,0
80142,35.33375179,144.1019257,63.189139,NA,NA,10.98023818
80144,0,0,22.84254536,NA,0,0
80145,0,9.232884888,52.66013323,NA,0,0
80146,0,0,17.68373818,NA,0,0
80147,0,0,26.86065458,NA,0,0
80148,0,0,17.54784331,NA,0,0
80150,247.6043898,459.1574321,92.52142098,NA,45.39685191,96.30852089
80151,134.543135,285.8018977,36.01717135,NA,14.89574296,24.3699588
80152,144.1381904,393.3757569,53.47372842,NA,19.58980788,39.25506308
80153,28.90242564,65.5813641,22.793722,NA,0,0
80154,228.1237963,353.0838148,58.19779069,13.74733801,8.804919617,18.57176963
80155,15.18268583,37.52782722,26.59345942,NA,0,0
80157,0,0,43.52632382,NA,0,0
80160,0,9.188304976,43.0086886,NA,0,0
80162,90.43716138,251.6271,57.6116187,NA,6.301519465,0
80163,139.8493831,183.1578686,36.89424913,2.707291442,0,0
80164,70.73807428,137.7060164,69.54013992,NA,0,0
80165,0,7.953118137,37.04311487,NA,0,0
80167,0,0,17.83112273,NA,0,0
80168,0,0,33.05107938,NA,0,0
80170,0,0,1.897016455,NA,0,0
80171,0,0,37.1880379,NA,0,0
80173,17.80836702,114.3889921,216.8314553,NA,12.71370158,0
80174,0,0,21.64006928,NA,0,0
