"","Sample Name","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio"
"1",80002,37.12050703,65.94564055,48.30872341,NA,10.79385536,21.00615389,134.86615683,2.13348936392439
"2",80003,57.0016745,99.94365565,17.64094385,NA,9.079328243,13.36672713,179.391385523,8.8966515331888
"3",80004,189.3269981,287.9927533,32.24578853,NA,55.7360269,49.27824523,582.33402353,14.8025454845343
"4",80005,34.82070567,75.95754415,6.072745556,NA,4.827272267,0,115.605522087,18.2418724444249
"5",80006,186.2392583,273.0586535,47.20193663,NA,55.23352086,74.02509755,588.55653021,9.73048871702619
"6",80007,196.4082094,137.9980369,29.012563,NA,8.335484951,9.141925745,351.883656996,11.5262566185552
"7",80008,102.4962592,177.6113444,40.95608425,NA,19.9946241,29.42636684,329.52859454,6.83921836595011
"8",80009,0,NA,0.42846586,0.014680067,0,0,NA,NA
"9",80010,0,NA,2.493791124,NA,0,0,NA,NA
"10",80011,4.494525517,57.81284807,41.24212406,48.5595897,34.92965566,5.4719699,102.708999147,1.51077023812726
"11",80013,0,NA,1.466524699,1.58242724,0,0,NA,NA
"12",80017,6.760185459,9.171870212,4.379680866,NA,0,0,15.932055671,3.63772068295718
"13",80018,0,0,1.753930831,NA,0,0,0,0
"14",80020,0,0,1.634281488,NA,0,0,0,0
"15",80024,52.50918318,145.4076196,34.63797542,NA,8.929309792,24.50006176,231.346174332,5.71386752199503
"16",80027,256.7937497,187.4546252,50.77543894,NA,28.83725921,17.11643624,490.20207035,8.74927689793005
"17",80028,197.2256615,316.5325454,NA,NA,20.33486111,19.33270063,553.42576864,NA
"18",80029,61.76554517,122.0740253,41.41882264,NA,13.08308759,16.78898086,213.71163892,4.4385513337228
"19",80030,89.44252109,170.3232031,37.16568667,NA,9.59640642,18.87880765,288.24093826,6.98939660382172
"20",80032,143.0343741,323.2683598,36.34347205,NA,18.96064809,28.34188621,513.6052682,12.8304399001416
"21",80033,128.9307762,171.2995789,17.47463053,5.147324195,6.802129655,0,307.032484755,17.1809272067053
"22",80035,111.2931886,245.6370693,32.37223161,NA,19.79276051,33.5647771,410.28779551,11.0258156496614
"23",80036,145.3688912,359.9343391,50.10642277,NA,42.08957927,51.42830157,598.82111114,10.0845999847057
"24",80037,149.6379537,240.2121543,29.54851549,NA,15.74816887,26.37659883,431.9748757,13.1935598636735
"25",80038,119.2697967,240.9193758,50.46611225,NA,13.72755,45.64460758,419.56133008,7.13724827297351
"26",80039,165.3009654,295.9105097,NA,NA,10.55023669,33.66741866,505.42913045,NA
"27",80041,166.2820225,306.9946904,47.52295057,7.269721165,18.59880516,26.205627,518.08114506,9.95890842684266
"28",80042,75.6734784,174.7336348,16.50364321,NA,6.834426894,17.17960056,274.421140654,15.1728385068499
"29",80043,140.088984,143.0095445,7.119282571,NA,9.894361278,NA,NA,39.7650361081587
"30",80045,68.32906089,71.12378377,5.397967337,NA,4.858797545,0,144.311642205,25.8343253958078
"31",80046,156.1602469,169.3234325,31.28428617,NA,8.25995889,6.104484221,339.848122511,10.4040628458425
"32",80047,377.466946,532.2490698,46.08920429,8.989898536,24.95643258,52.62893027,987.30137865,19.7381584215673
"33",80048,371.5431942,552.4493296,22.77946478,NA,24.44521331,21.25317365,969.69091076,40.562521232336
"34",80049,497.9424323,265.804542,49.19009796,NA,18.60137785,28.03731526,810.38566741,15.5264373517015
"35",80052,63.24327248,127.3152534,13.78999878,5.204341705,5.89519639,0,196.45372227,13.8186035343507
"36",80053,392.7905487,561.2916883,35.18187384,9.48562669,24.72226722,21.24208817,1000.04659239,27.1185736535516
"37",80054,0,0,8.904615844,NA,0,0,0,0
"38",80056,21.73093472,40.30072211,17.72508163,NA,2.297314115,0,64.328970945,3.49965422585194
"39",80057,NA,NA,6.439424137,NA,0,0,NA,NA
"40",80059,0,3.432411321,32.24140532,NA,0,0,3.432411321,0.106459730490433
"41",80060,0,NA,25.37914243,NA,0,0,NA,NA
"42",80061,0,NA,4.304343011,NA,0,0,NA,NA
"43",80062,0,0,2.421138443,NA,0,0,0,0
"44",80063,26.63997928,47.04592857,15.71971991,NA,0,0,73.68590785,4.68748223708014
"45",80064,0,0,5.262259428,NA,0,0,0,0
"46",80065,107.5194991,104.0323155,10.62061893,NA,5.009172781,0,216.560987381,19.9189723305514
"47",80067,NA,6.504445181,14.42630717,NA,0,0,NA,NA
"48",80068,0,0,1.353608741,NA,0,0,0,0
"49",80069,12.24345224,28.42895562,11.96588165,NA,0,0,40.67240786,3.39903143367626
"50",80071,16.10974304,24.08989405,6.075845308,NA,0,0,40.19963709,6.61630358446907
"51",80072,0,0,NA,NA,0,0,0,NA
"52",80076,0,0,4.277030977,NA,0,0,0,0
"53",80077,49.50660204,89.24484066,7.926652704,NA,0,0,138.7514427,17.5044180540397
