"Sample.Name","Alpha","Beta","Lutein","Lycopene","Phytoene","Zeta","Total","AB.ratio","Outer.Color","Inner.Color"
80002,37.12050703,65.94564055,48.30872341,NA,10.79385536,21.00615389,134.8661568,2.133489364,"1","2"
80003,57.0016745,99.94365565,17.64094385,NA,9.079328243,13.36672713,179.3913855,8.896651535,"1","1"
80004,189.3269981,287.9927533,32.24578853,NA,55.7360269,49.27824523,582.3340235,14.80254548,"1","1"
80005,34.82070567,75.95754415,6.072745556,NA,4.827272267,0,115.6055221,18.24187244,"1","1"
80006,186.2392583,273.0586535,47.20193663,NA,55.23352086,74.02509755,588.5565301,9.730488716,"1","1"
80007,196.4082094,137.9980369,29.012563,NA,8.335484951,9.141925745,351.8836569,11.52625662,"1","1"
80008,102.4962592,177.6113444,40.95608425,NA,19.9946241,29.42636684,329.5285945,6.839218366,"1","1"
80017,6.760185459,9.171870212,4.379680866,NA,0,0,15.93205567,3.637720683,"1","2"
80024,52.50918318,145.4076196,34.63797542,NA,8.929309792,24.50006176,231.3461743,5.713867523,"1","1"
80027,256.7937497,187.4546252,50.77543894,NA,28.83725921,17.11643624,490.2020703,8.749276896,"1","2"
80028,197.2256615,316.5325454,NA,NA,20.33486111,19.33270063,553.4257686,NA,"1","1"
80029,61.76554517,122.0740253,41.41882264,NA,13.08308759,16.78898086,213.7116389,4.438551334,"1","1"
80030,89.44252109,170.3232031,37.16568667,NA,9.59640642,18.87880765,288.2409382,6.989396602,"1","2"
80032,143.0343741,323.2683598,36.34347205,NA,18.96064809,28.34188621,513.6052682,12.8304399,"1","2"
80033,128.9307762,171.2995789,17.47463053,5.147324195,6.802129655,0,307.0324847,17.18092721,"1","1"
80035,111.2931886,245.6370693,32.37223161,NA,19.79276051,33.5647771,410.2877954,11.02581565,"1","1"
80036,145.3688912,359.9343391,50.10642277,NA,42.08957927,51.42830157,598.821111,10.08459998,"1","2"
80037,149.6379537,240.2121543,29.54851549,NA,15.74816887,26.37659883,431.9748756,13.19355986,"1","2"
80038,119.2697967,240.9193758,50.46611225,NA,13.72755,45.64460758,419.56133,7.137248272,"1","1"
80039,165.3009654,295.9105097,NA,NA,10.55023669,33.66741866,505.4291304,NA,"1","1"
80040,3.739142695,9.391011,2.713491833,NA,NA,0,NA,4.838840322,"1","2"
80041,166.2820225,306.9946904,47.52295057,7.269721165,18.59880516,26.205627,518.0811451,9.958908427,"1","2"
80042,75.6734784,174.7336348,16.50364321,NA,6.834426894,17.17960056,274.4211406,15.17283851,"1","1"
80043,140.088984,143.0095445,7.119282571,NA,9.894361278,NA,NA,39.76503611,"1","1"
80045,68.32906089,71.12378377,5.397967337,NA,4.858797545,0,144.3116422,25.8343254,"1","1"
80046,156.1602469,169.3234325,31.28428617,NA,8.25995889,6.104484221,339.8481225,10.40406284,"1","1"
80047,377.466946,532.2490698,46.08920429,8.989898536,24.95643258,52.62893027,987.3013787,19.73815842,"1","1"
80048,371.5431942,552.4493296,22.77946478,NA,24.44521331,21.25317365,969.6909107,40.56252124,"1","1"
80049,497.9424323,265.804542,49.19009796,NA,18.60137785,28.03731526,810.3856674,15.52643735,"1","1"
80052,63.24327248,127.3152534,13.78999878,5.204341705,5.89519639,0,196.4537222,13.81860354,"1","1"
80053,392.7905487,561.2916883,35.18187384,9.48562669,24.72226722,21.24208817,1000.046592,27.11857366,"1","1"
80056,21.73093472,40.30072211,17.72508163,NA,2.297314115,0,64.32897094,3.499654226,"1","2"
80063,26.63997928,47.04592857,15.71971991,NA,0,0,73.68590784,4.687482236,"1","2"
80065,107.5194991,104.0323155,10.62061893,NA,5.009172781,0,216.5609873,19.91897234,"1","1"
80069,12.24345224,28.42895562,11.96588165,NA,0,0,40.67240786,3.399031435,"1","2"
80071,16.10974304,24.08989405,6.075845308,NA,0,0,40.19963709,6.616303584,"1","2"
80077,49.50660204,89.24484066,7.926652704,NA,0,0,138.7514427,17.50441805,"1","1"
80080,90.65989116,80.61083221,43.21133174,NA,0,0,171.2707234,3.963560401,"1","2"
80084,25.19943588,28.29494401,14.44950147,NA,0,0,53.49437989,3.702160937,"1","2"
80111,21.2886112,74.7494214,26.77289328,NA,0,0,96.0380326,3.58713687,"1","2"
80142,35.33375179,144.1019257,63.189139,NA,NA,10.98023818,NA,2.839660112,"1","1"
80150,247.6043898,459.1574321,92.52142098,NA,45.39685191,96.30852089,848.4671947,7.638899343,"1","1"
80151,134.543135,285.8018977,36.01717135,NA,14.89574296,24.3699588,459.6107345,11.6706842,"1","1"
80152,144.1381904,393.3757569,53.47372842,NA,19.58980788,39.25506308,596.3588183,10.05192574,"1","2"
80153,28.90242564,65.5813641,22.793722,NA,0,0,94.48378973,4.145167242,"1","2"
80154,228.1237963,353.0838148,58.19779069,13.74733801,8.804919617,18.57176963,608.5843003,9.986764174,"1","1"
80155,15.18268583,37.52782722,26.59345942,NA,0,0,52.71051305,1.982085603,"1","1"
80162,90.43716138,251.6271,57.6116187,NA,6.301519465,0,348.3657808,5.93741799,"1","2"
80163,139.8493831,183.1578686,36.89424913,2.707291442,0,0,323.0072517,8.754948517,"1","1"
80164,70.73807428,137.7060164,69.54013992,NA,0,0,208.4440906,2.997464355,"1","2"
80173,17.80836702,114.3889921,216.8314553,NA,12.71370158,0,144.9110607,0.609677959,"1","1"
80183,93.66843513,298.3384192,113.1026489,NA,0,0,392.0068543,3.465938758,"1","1"
80191,94.656376,119.6390833,35.44316945,NA,13.52335292,0,227.8188122,6.046170886,"1","1"
80192,372.9226049,598.595195,120.0263532,27.50390183,70.08947004,49.2158586,1090.823129,8.094204101,"1","1"
80194,231.5393953,329.020149,67.49440802,NA,0,0,560.5595443,8.305273884,"1","1"
80196,232.660856,270.0277919,33.60589441,NA,0,0,502.6886479,14.95834754,"1","1"
80197,385.1230492,579.7567891,101.0759989,NA,40.2496571,84.52679945,1089.656295,9.546082643,"1","1"
80198,19.03602508,36.32683126,8.132453457,NA,0,0,55.36285633,6.807645027,"1","1"
80199,53.63198653,95.6629399,17.16650916,NA,0,0,149.2949264,8.696871628,"1","1"
80200,64.69980175,166.0309814,88.6322208,NA,0,0,230.7307831,2.603238202,"1","2"
80201,627.6969058,625.3200691,192.7990241,NA,45.52441989,0,1298.541395,6.499083596,"1","2"
80203,159.3210816,256.9038464,63.63765841,NA,32.73273045,0,448.9576585,6.540544363,"1","1"
80204,148.016089,330.3933035,96.4186608,13.34330909,0,0,478.4093924,4.961792546,"1","1"
80209,144.6716794,324.0296497,297.9489963,NA,29.99968099,30.08265035,528.7836604,1.573092492,"1","2"
80211,406.7951102,858.5919192,116.6224682,34.68973121,21.44818493,36.79459455,1323.629809,10.8502851,"1","2"
80212,23.45264395,27.28679406,24.78008199,NA,0,0,50.739438,2.047589594,"1","1"
80213,209.7341257,381.6831181,78.71162835,NA,16.53966653,0,607.9569102,7.513721366,"1","1"
80224,63.60331125,151.1509117,27.07020772,NA,10.95028865,0,225.7045116,7.933231439,"1","1"
80227,13.32820641,15.05394415,3.162846839,NA,0,0,28.38215056,8.973608905,"1","1"
80229,123.8539098,352.5728857,77.16344442,8.168665276,34.80729159,67.05436427,578.2884513,6.174255167,"1","1"
80230,30.0522346,55.63522322,7.458718064,NA,0,0,85.68745781,11.48822855,"1","1"
80231,39.55932161,100.7649661,10.43773794,NA,0,0,140.3242877,13.44393665,"1","1"
80232,384.0376411,535.4185778,48.78750274,11.89479439,33.09459169,38.92278789,991.4735984,18.8461423,"1","1"
80235,192.0112617,160.7732298,65.21897708,NA,24.61260035,28.59139034,405.9884821,5.409230675,"1","1"
80236,89.51225007,205.3027643,59.86569437,NA,16.18303762,32.07429414,343.0723461,4.924606946,"1","1"
80237,422.4791454,626.7834382,147.6971409,NA,NA,29.49365587,NA,7.104149594,"1","1"
80238,55.13548646,32.10998166,10.79890965,NA,0,0,87.24546812,8.079099741,"1","1"
80240,6.797532598,9.037065614,3.717472885,NA,0,0,15.83459821,4.259506041,"1","1"
80242,216.3921277,523.9998678,100.4499572,12.93304634,19.55894129,18.94662747,778.8975642,7.37075471,"1","1"
80246,11.3681363,54.02300494,12.98157766,NA,0,0,65.39114124,5.037226058,"1","1"
80248,359.7983953,323.8546765,24.1461804,NA,NA,0,NA,28.31309385,"1","1"
80254,98.25471086,226.389079,70.49778608,NA,0,0,324.6437899,4.605021064,"1","1"
80259,113.7294871,246.4581446,87.11166298,NA,10.08448122,NA,NA,4.134780802,"1","2"
80260,219.8857639,324.3091801,57.94509691,16.12109974,5.118714601,0,549.3136586,9.391561548,"1","1"
80266,0,117.7533338,103.4035706,47.74530856,12.85140227,0,130.6047361,1.138774349,"1","1"
80270,70.92165918,231.9648758,111.3525234,NA,20.61411607,0,323.500651,2.720068892,"1","1"
80271,35.32563124,41.28378007,11.705463,NA,0,0,76.60941131,6.544757034,"1","1"
80272,124.3887589,178.3080524,45.20826454,NA,7.853297977,17.32598479,327.876094,6.695607858,"1","1"
80273,10.52881021,9.208268163,4.65484241,NA,0,0,19.73707837,4.240117416,"1","1"
80275,34.02257791,25.35309828,5.511188984,NA,0,0,59.37567619,10.77365998,"1","1"
80276,395.401285,457.9533418,53.42926639,NA,16.23671817,13.48707947,883.0784244,15.97167029,"1","1"
