"Sample.Name","ID","Exterior","Interior","Color","Alpha..ug.g.","Beta..ug.g.","Lut..ug.g.","Lycopene..ug.g.","Phyto..ug.g.","Zeta..ug.g.","AB.Ratio","Total"
80002,"Ames 7701","Yellow","Orange","Orange",37.12050703,65.94564055,48.30872341,NA,10.79385536,21.00615389,2.13348936392439,134.86615683
80003,"Ames 7702","Orange","Orange","Orange",57.0016745,99.94365565,17.64094385,NA,9.079328243,13.36672713,8.8966515331888,179.391385523
80004,"Ames 7705","Orange","Orange","Orange",189.3269981,287.9927533,32.24578853,NA,55.7360269,49.27824523,14.8025454845343,582.33402353
80005,"Ames 7706","Orange","Orange","Orange",34.82070567,75.95754415,6.072745556,NA,4.827272267,0,18.2418724444249,115.605522087
80006,"Ames 7711","Orange","Orange","Orange",186.2392583,273.0586535,47.20193663,NA,55.23352086,74.02509755,9.73048871702619,588.55653021
80007,"Ames 7713","Orange","Orange","Orange",196.4082094,137.9980369,29.012563,NA,8.335484951,9.141925745,11.5262566185552,351.883656996
80008,"Ames 7715","Orange","Orange","Orange",102.4962592,177.6113444,40.95608425,NA,19.9946241,29.42636684,6.83921836595011,329.52859454
80009,"Ames 7717","Orange","Yellow","Orange",0,NA,0.42846586,0.014680067,0,0,NA,NA
80010,"Ames 22389","Yellow","Yellow","Yellow",0,NA,2.493791124,NA,0,0,NA,NA
80011,"Ames 25040","Orange","Yellow","Orange",4.494525517,57.81284807,41.24212406,48.5595897,34.92965566,5.4719699,1.51077023812726,102.708999147
80013,"Ames 25043","Orange","White","Orange",0,NA,1.466524699,1.58242724,0,0,NA,NA
80017,"Ames 27399","Yellow","Orange","Orange",6.760185459,9.171870212,4.379680866,NA,0,0,3.63772068295718,15.932055671
80018,"Ames 27400","Yellow","Yellow","Yellow",0,0,1.753930831,NA,0,0,0,0
80020,"Ames 27414","Yellow","Yellow","Yellow",0,0,1.634281488,NA,0,0,0,0
80024,"Ames 29182","Orange","Orange","Orange",52.50918318,145.4076196,34.63797542,NA,8.929309792,24.50006176,5.71386752199503,231.346174332
80027,"Ames 30276","Yellow","Orange","Orange",256.7937497,187.4546252,50.77543894,NA,28.83725921,17.11643624,8.74927689793005,490.20207035
80028,"Ames 32056","Orange","Orange","Orange",197.2256615,316.5325454,NA,NA,20.33486111,19.33270063,NA,553.42576864
80029,"NSL 6162","Orange","Orange","Orange",61.76554517,122.0740253,41.41882264,NA,13.08308759,16.78898086,4.4385513337228,213.71163892
80030,"NSL 6166","Orange","Yellow","Orange",89.44252109,170.3232031,37.16568667,NA,9.59640642,18.87880765,6.98939660382172,288.24093826
80032,"NSL 6172","Orange","Yellow","Orange",143.0343741,323.2683598,36.34347205,NA,18.96064809,28.34188621,12.8304399001416,513.6052682
80033,"Seminis 397694","Orange","Orange","Orange",128.9307762,171.2995789,17.47463053,5.147324195,6.802129655,0,17.1809272067053,307.032484755
80035,"NSL 6619","Orange","Orange","Orange",111.2931886,245.6370693,32.37223161,NA,19.79276051,33.5647771,11.0258156496614,410.28779551
80036,"NSL 9333","Orange","Yellow","Orange",145.3688912,359.9343391,50.10642277,NA,42.08957927,51.42830157,10.0845999847057,598.82111114
