Number,ID,Exterior,Interior,Color
80246,PI 264238,Orange,Yellow,Orange
80405,PI 357988,NA,White,NA
80106,PI 174828,NA,Yellow,NA
80135,PI 179689,Yellow,White,Yellow
80149,PI 183401,Yellow,White,Yellow
80308,PI 288458,NA,NA,NA
80450,PI 432906,Orange,Yellow,Orange
80716,PI 652405,NA,Yellow,NA
80155,PI 196847,Orange,Yellow,Orange
80212,PI 234620,Orange,Yellow,Orange
80271,PI 276325,Orange,Yellow,Orange
80335,PI 319859,Red,Yellow,Red
80397,PI 357980,Orange,Yellow,Orange
80472,PI 483352,Orange,Yellow,Orange
80685,PI 652276,Orange,Yellow,Orange
80215,PI 234623,Orange,Yellow,Orange
80395,PI 357978,Orange,Yellow,Orange
80402,PI 357985,Orange,Yellow,Orange
80410,PI 369349,White,White,White
80415,PI 379325,Orange,Yellow,Orange
80428,PI 419110,Orange,Yellow,Orange
80433,PI 430527,Orange,Yellow,Orange
80462,PI 458857,Orange,Yellow,Orange
80466,PI 478370,Orange,White,Orange
80474,PI 502347,Orange,Yellow,Orange
80573,PI 643119,Orange,Yellow,Orange
80587,PI 652130,Orange,Yellow,Orange
80652,PI 652210,Yellow,Yellow,Yellow
80067,PI 164942,Orange,Yellow,Orange
80087,PI 171642,Orange,Yellow,Orange
80098,PI 172894,Orange,Yellow,Orange
80117,PI 176561,NA,Yellow,NA
80130,PI 178900,Orange,Yellow,Orange
80136,PI 179690,NA,Yellow,NA
80145,PI 182204,Orange,Yellow,Orange
80160,PI 204704,Orange,Yellow,Orange
80165,PI 206960,NA,Yellow,NA
80205,PI 227014,Orange,Yellow,Orange
80350,PI 325993,Orange,Yellow,Orange
80386,PI 344361,Orange,Yellow,Orange
80414,PI 378883,Orange,Yellow,Orange
80454,PI 451754,Orange,Yellow,Orange
80492,PI 506444,Orange,Yellow,Orange
80650,PI 652208,Orange,Yellow,Orange
80672,PI 652256,Orange,Yellow,Orange
80700,PI 652334,NA,Yellow,NA
80001,Vilmorin I04428,Orange,Orange,Orange
80002,Ames 7701,Yellow,Orange,Orange
80003,Ames 7702,Orange,Orange,Orange
80004,Ames 7705,Orange,Orange,Orange
80005,Ames 7706,Orange,Orange,Orange
80006,Ames 7711,Orange,Orange,Orange
80007,Ames 7713,Orange,Orange,Orange
80008,Ames 7715,Orange,Orange,Orange
80009,Ames 7717,Orange,Yellow,Orange
80010,Ames 22389,Yellow,Yellow,Yellow
80011,Ames 25040,Orange,Yellow,Orange
80013,Ames 25043,Orange,White,Orange
80017,Ames 27399,Yellow,Orange,Orange
80018,Ames 27400,Yellow,Yellow,Yellow
80020,Ames 27414,Yellow,Yellow,Yellow
80024,Ames 29182,Orange,Orange,Orange
80027,Ames 30276,Yellow,Orange,Orange
80028,Ames 32056,Orange,Orange,Orange
80029,NSL 6162,Orange,Orange,Orange
80030,NSL 6166,Orange,Yellow,Orange
80031,NSL 6168,Orange,Orange,Orange
80032,NSL 6172,Orange,Yellow,Orange
80033,Seminis 397694,Orange,Orange,Orange
80034,NSL 6193,Orange,Orange,Orange
80035,NSL 6619,Orange,Orange,Orange
80036,NSL 9333,Orange,Yellow,Orange
80037,NSL 22994,Orange,Yellow,Orange
80038,NSL 26501,Orange,Orange,Orange
80039,NSL 26502,Orange,Orange,Orange
80040,NSL 26503,Orange,Yellow,Orange
80041,NSL 32746,Orange,Yellow,Orange
80042,NSL 34344,Orange,Orange,Orange
80043,NSL 34346,Orange,Orange,Orange
80044,NSL 52533,Orange,Yellow,Orange
80045,NSL 54098,Orange,Orange,Orange
