"","Sample Name","Outer Color","Inner Color","Color","Alpha (ug/g)","Beta (ug/g)","Lut (ug/g)","Lycopene (ug/g)","Phyto (ug/g)","Zeta (ug/g)","Total (ug/g)","AB.Ratio","PI"
"1",90024,"Orange","Orange","Orange",187.8265118,679.7612704,49.77633809,0,76.8868796,0,944.4746618,17.42972295,"Ames 29182"
"2",90002,"Orange","Orange","Orange",611.9940507,1219.299988,97.06455139,47.4668498,92.35847118,0,1923.65251,18.86676457,"Ames 7701"
"3",90003,"Orange","Orange","Orange",150.4932993,317.0559409,42.65803351,0,39.57637956,0,507.1256198,10.96040304,"Ames 7702"
"4",90004,"Orange","Orange","Orange",768.6158112,1605.396379,69.0279498,59.14013328,167.2237013,0,2541.235892,34.3920426,"Ames 7705"
"5",90005,"Orange","Orange","Orange",392.8818481,1467.215777,86.9699011,68.00892644,180.1640624,0,2040.261688,21.3878319,"Ames 7706"
"6",90006,"Orange","Orange","Orange",584.4175655,1277.534902,178.6471331,71.31943308,232.5132284,30.03557638,2124.501272,10.42251524,"Ames 7711"
"7",90007,"Orange","Orange","Orange",594.423525,1218.880783,152.5662966,63.12176503,211.0511807,0,2024.355489,11.88535311,"Ames 7713"
"8",90008,"Orange","Yellow","Orange",287.7148752,781.4970917,82.8121441,0,106.7821425,0,1175.994109,12.91129433,"Ames 7715"
"9",90047,"Orange","Orange","Orange",1195.415791,1515.422185,48.02116275,78.74448035,320.6349528,0,3031.472929,56.45090249,"NSL 199856"
"10",90048,"Orange","Orange","Orange",282.6862811,413.3016032,31.48920967,13.72240204,14.5208122,0,710.5086965,22.10242466,"NSL 199857"
"11",90049,"Orange","Orange","Orange",322.7541271,835.9404862,111.7860467,43.40672037,54.29674939,0,1212.991363,10.3652884,"NSL 199859"
"12",90052,"Orange","Orange","Orange",166.9626062,501.3765617,71.94529557,23.17518255,70.73125323,0,739.0704211,9.28954649,"NSL 199865"
"13",90053,"Orange","Orange","Orange",165.871747,292.0665196,102.0742893,6.49722633,0,0,457.9382666,4.486323341,"NSL 199868"
"14",90037,"Orange","Orange","Orange",174.586169,685.3575004,59.86165959,52.52155809,26.93640893,0,886.8800783,14.36551668,"NSL 22994"
"15",90038,"Orange","Orange","Orange",35.41904095,110.5083012,24.73525653,0,26.50968298,0,172.4370251,5.899568576,"NSL 26501"
"16",90039,"Orange","Orange","Orange",531.0446969,1141.824009,96.30116996,59.86522727,170.1964342,0,1843.06514,17.37121892,"NSL 26502"
"17",90040,"Orange","Yellow","Orange",140.3121403,653.9294786,29.57157257,28.41031447,41.75618981,0,835.9978087,26.85828145,"NSL 26503"
"18",90041,"Orange","Orange","Orange",114.8304538,486.8082544,34.82805842,0,98.07771684,0,699.716425,17.27454057,"NSL 32746"
"19",90042,"Orange","Orange","Orange",447.8479898,1194.160647,44.13106701,25.66048357,125.7688705,40.86560605,1808.643113,37.20754444,"NSL 34344"
