Sample Name,Outer Color,Inner Color,Color,Alpha (ug/g),Beta (ug/g),Lut (ug/g),Lycopene (ug/g),Phyto (ug/g),Zeta (ug/g),Total (ug/g),AB.Ratio
90002,Orange,Orange,Orange,611.9940507,1219.299988,97.06455139,47.4668498,92.35847118,0,1923.65251,18.86676457
90003,Orange,Orange,Orange,150.4932993,317.0559409,42.65803351,0,39.57637956,0,507.1256198,10.96040304
90004,Orange,Orange,Orange,768.6158112,1605.396379,69.0279498,59.14013328,167.2237013,0,2541.235892,34.3920426
90005,Orange,Orange,Orange,392.8818481,1467.215777,86.9699011,68.00892644,180.1640624,0,2040.261688,21.3878319
90006,Orange,Orange,Orange,584.4175655,1277.534902,178.6471331,71.31943308,232.5132284,30.03557638,2124.501272,10.42251524
90007,Orange,Orange,Orange,594.423525,1218.880783,152.5662966,63.12176503,211.0511807,0,2024.355489,11.88535311
90008,Orange,Yellow,Orange,287.7148752,781.4970917,82.8121441,0,106.7821425,0,1175.994109,12.91129433
90009,Orange,Orange,Orange,104.3355381,258.7245281,66.61241423,0,18.24053913,0,381.3006053,5.450336403
90016,Orange,Orange,Orange,15.80394252,43.49843516,28.40321725,0,0,0,59.30237768,2.087875368
90022,Orange,Yellow,Orange,167.3665999,330.0233661,179.0192506,0,92.83077241,0,590.2207384,2.778416088
90023,Orange,Orange,Orange,314.1838393,651.5222879,124.4034235,0,130.6710599,0,1096.377187,7.76269736
90024,Orange,Orange,Orange,187.8265118,679.7612704,49.77633809,0,76.8868796,0,944.4746618,17.42972295
90029,Orange,Orange,Orange,660.1383943,1375.730556,141.4912231,72.72325878,89.60555326,0,2125.474504,14.38865893
90030,Orange,Orange,Orange,530.9258643,1095.953575,82.60147456,45.51288619,52.12827832,0,1679.007718,19.69552539
90031,Orange,Orange,Orange,25.79215211,87.47424081,21.07114174,0,0,0,113.2663929,5.375427412
90032,Orange,Yellow,Orange,392.4812574,1202.594725,67.4392743,52.27149264,145.0313849,0,1740.107367,23.65203361
90034,Orange,Orange,Orange,68.36549438,165.8566236,29.91284678,0,0,0,234.222118,7.830151363
90035,Orange,Orange,Orange,442.9870107,635.1772195,116.4282123,39.36752782,65.94862088,0,1144.112851,9.260334836
90036,Orange,Yellow,Orange,246.3921103,809.2373769,50.05777356,41.4534157,71.51039662,0,1127.139884,21.08822291
90037,Orange,Orange,Orange,174.586169,685.3575004,59.86165959,52.52155809,26.93640893,0,886.8800783,14.36551668
90038,Orange,Orange,Orange,35.41904095,110.5083012,24.73525653,0,26.50968298,0,172.4370251,5.899568576
90039,Orange,Orange,Orange,531.0446969,1141.824009,96.30116996,59.86522727,170.1964342,0,1843.06514,17.37121892
90040,Orange,Yellow,Orange,140.3121403,653.9294786,29.57157257,28.41031447,41.75618981,0,835.9978087,26.85828145
90041,Orange,Orange,Orange,114.8304538,486.8082544,34.82805842,0,98.07771684,0,699.716425,17.27454057
90042,Orange,Orange,Orange,447.8479898,1194.160647,44.13106701,25.66048357,125.7688705,40.86560605,1808.643113,37.20754444
90043,Orange,Orange,Orange,760.7506271,1181.107416,56.69561733,35.06062846,152.6769038,0,2094.534947,34.25058469
90044,Orange,Orange,Orange,630.6433384,1551.86825,59.45799596,53.94697702,134.0238288,0,2316.535417,36.70678019
90045,Orange,Orange,Orange,1107.654802,2028.478994,106.6069762,75.29862645,173.1442992,0,3309.278095,29.41771644
90046,Orange,Orange,Orange,420.1310233,1498.562004,71.1377493,42.56564345,195.8337908,0,2114.526818,26.97151718
90047,Orange,Orange,Orange,1195.415791,1515.422185,48.02116275,78.74448035,320.6349528,0,3031.472929,56.45090249
90048,Orange,Orange,Orange,282.6862811,413.3016032,31.48920967,13.72240204,14.5208122,0,710.5086965,22.10242466
90049,Orange,Orange,Orange,322.7541271,835.9404862,111.7860467,43.40672037,54.29674939,0,1212.991363,10.3652884
90050,Orange,Orange,Orange,138.1038215,387.7284312,68.30407963,16.87589227,30.31947331,0,556.151726,7.698401846
90051,Orange,Orange,Orange,103.3833605,213.0096092,79.03955487,0,0,0,316.3929697,4.002970035
90052,Orange,Orange,Orange,166.9626062,501.3765617,71.94529557,23.17518255,70.73125323,0,739.0704211,9.28954649
90053,Orange,Orange,Orange,165.871747,292.0665196,102.0742893,6.49722633,0,0,457.9382666,4.486323341
90058,Orange,Orange,Orange,13.83890173,253.6490612,130.0621342,7.083000492,69.66195498,0,337.1499179,2.056616744
90063,Orange,Yellow,Orange,228.0218477,602.4151347,102.3000506,23.7004044,97.54115128,0,927.9781337,8.117659547
90066,Orange,Yellow,Orange,0,89.3302018,43.14765699,42.20276432,56.77657399,0,146.1067758,2.070337257
90068,Orange,Orange,Orange,31.20911209,187.4215029,85.49997566,8.72724005,30.42820395,0,249.0588189,2.557083944
90069,Orange,Yellow,Orange,223.1433237,365.6699401,138.202468,11.81286345,87.12811211,0,675.9413759,4.260511931
90070,Orange,Yellow,Orange,87.54462657,203.1770497,30.59237582,5.722323059,24.68637606,0,315.4080523,9.503076125
90071,Orange,Yellow,Orange,46.10216849,139.8514286,20.26405297,6.349671874,22.69286857,0,208.6464657,9.176525415
90076,Orange,Yellow,Orange,184.3499384,672.0265295,156.2134876,26.4046776,185.5867456,0,1041.963214,5.482090446
90077,Orange,Orange,Orange,411.9475744,817.2851174,79.27349818,52.62241378,81.29549176,0,1310.528184,15.50622491
