Sample.Name,PI,Alpha,Beta,Lutein,Lycopene,Phytoene,Zeta,Total,AB.Ratio,Year
80024,Ames 29182,52.50918318,145.4076196,34.63797542,NA,8.929309792,24.50006176,231.3461743,5.713867523,2018
80002,Ames 7701,37.12050703,65.94564055,48.30872341,NA,10.79385536,21.00615389,134.8661568,2.133489364,2018
80003,Ames 7702,57.0016745,99.94365565,17.64094385,NA,9.079328243,13.36672713,179.3913855,8.896651535,2018
80004,Ames 7705,189.3269981,287.9927533,32.24578853,NA,55.7360269,49.27824523,582.3340235,14.80254548,2018
80005,Ames 7706,34.82070567,75.95754415,6.072745556,NA,4.827272267,0,115.6055221,18.24187244,2018
80006,Ames 7711,186.2392583,273.0586535,47.20193663,NA,55.23352086,74.02509755,588.5565301,9.730488716,2018
80007,Ames 7713,196.4082094,137.9980369,29.012563,NA,8.335484951,9.141925745,351.8836569,11.52625662,2018
80008,Ames 7715,102.4962592,177.6113444,40.95608425,NA,19.9946241,29.42636684,329.5285945,6.839218366,2018
80047,NSL 199856,377.466946,532.2490698,46.08920429,8.989898536,24.95643258,52.62893027,987.3013787,19.73815842,2018
80048,NSL 199857,371.5431942,552.4493296,22.77946478,NA,24.44521331,21.25317365,969.6909107,40.56252124,2018
80049,NSL 199859,497.9424323,265.804542,49.19009796,NA,18.60137785,28.03731526,810.3856674,15.52643735,2018
80052,NSL 199865,63.24327248,127.3152534,13.78999878,5.204341705,5.89519639,0,196.4537222,13.81860354,2018
80053,NSL 199868,392.7905487,561.2916883,35.18187384,9.48562669,24.72226722,21.24208817,1000.046592,27.11857366,2018
80037,NSL 22994,149.6379537,240.2121543,29.54851549,NA,15.74816887,26.37659883,431.9748756,13.19355986,2018
80038,NSL 26501,119.2697967,240.9193758,50.46611225,NA,13.72755,45.64460758,419.56133,7.137248272,2018
80039,NSL 26502,165.3009654,295.9105097,NA,NA,10.55023669,33.66741866,505.4291304,NA,2018
80040,NSL 26503,3.739142695,9.391011,2.713491833,NA,NA,0,NA,4.838840322,2018
80041,NSL 32746,166.2820225,306.9946904,47.52295057,7.269721165,18.59880516,26.205627,518.0811451,9.958908427,2018
80042,NSL 34344,75.6734784,174.7336348,16.50364321,NA,6.834426894,17.17960056,274.4211406,15.17283851,2018
80043,NSL 34346,140.088984,143.0095445,7.119282571,NA,9.894361278,NA,NA,39.76503611,2018
80045,NSL 54098,68.32906089,71.12378377,5.397967337,NA,4.858797545,0,144.3116422,25.8343254,2018
80029,NSL 6162,61.76554517,122.0740253,41.41882264,NA,13.08308759,16.78898086,213.7116389,4.438551334,2018
80030,NSL 6166,89.44252109,170.3232031,37.16568667,NA,9.59640642,18.87880765,288.2409382,6.989396602,2018
80032,NSL 6172,143.0343741,323.2683598,36.34347205,NA,18.96064809,28.34188621,513.6052682,12.8304399,2018
80046,NSL 65838,156.1602469,169.3234325,31.28428617,NA,8.25995889,6.104484221,339.8481225,10.40406284,2018
80035,NSL 6619,111.2931886,245.6370693,32.37223161,NA,19.79276051,33.5647771,410.2877954,11.02581565,2018
80036,NSL 9333,145.3688912,359.9343391,50.10642277,NA,42.08957927,51.42830157,598.821111,10.08459998,2018
80063,PI 164461,26.63997928,47.04592857,15.71971991,NA,0,0,73.68590784,4.687482236,2018
80069,PI 165051,12.24345224,28.42895562,11.96588165,NA,0,0,40.67240786,3.399031435,2018
80071,PI 165522,16.10974304,24.08989405,6.075845308,NA,0,0,40.19963709,6.616303584,2018
80077,PI 169482,49.50660204,89.24484066,7.926652704,NA,0,0,138.7514427,17.50441805,2018
80080,PI 169485,90.65989116,80.61083221,43.21133174,NA,0,0,171.2707234,3.963560401,2018
80084,PI 169489,25.19943588,28.29494401,14.44950147,NA,0,0,53.49437989,3.702160937,2018
80111,PI 175719,21.2886112,74.7494214,26.77289328,NA,0,0,96.0380326,3.58713687,2018
80142,PI 181766,35.33375179,144.1019257,63.189139,NA,NA,10.98023818,NA,2.839660112,2018
80150,PI 187234,247.6043898,459.1574321,92.52142098,NA,45.39685191,96.30852089,848.4671947,7.638899343,2018
80151,PI 187235,134.543135,285.8018977,36.01717135,NA,14.89574296,24.3699588,459.6107345,11.6706842,2018
80152,PI 187236,144.1381904,393.3757569,53.47372842,NA,19.58980788,39.25506308,596.3588183,10.05192574,2018
80153,PI 187237,28.90242564,65.5813641,22.793722,NA,0,0,94.48378973,4.145167242,2018
80154,PI 193504,228.1237963,353.0838148,58.19779069,13.74733801,8.804919617,18.57176963,608.5843003,9.986764174,2018
80155,PI 196847,15.18268583,37.52782722,26.59345942,NA,0,0,52.71051305,1.982085603,2018
80162,PI 205997,90.43716138,251.6271,57.6116187,NA,6.301519465,0,348.3657808,5.93741799,2018
80163,PI 205998,139.8493831,183.1578686,36.89424913,2.707291442,0,0,323.0072517,8.754948517,2018
80164,PI 205999,70.73807428,137.7060164,69.54013992,NA,0,0,208.4440906,2.997464355,2018
80183,PI 222250,93.66843513,298.3384192,113.1026489,NA,0,0,392.0068543,3.465938758,2018
80191,PI 224689,94.656376,119.6390833,35.44316945,NA,13.52335292,0,227.8188122,6.046170886,2018
80192,PI 225866,372.9226049,598.595195,120.0263532,27.50390183,70.08947004,49.2158586,1090.823129,8.094204101,2018
80194,PI 225867,231.5393953,329.020149,67.49440802,NA,0,0,560.5595443,8.305273884,2018
80196,PI 225869,232.660856,270.0277919,33.60589441,NA,0,0,502.6886479,14.95834754,2018
80197,PI 225870,385.1230492,579.7567891,101.0759989,NA,40.2496571,84.52679945,1089.656295,9.546082643,2018
80198,PI 225871,19.03602508,36.32683126,8.132453457,NA,0,0,55.36285633,6.807645027,2018
80199,PI 225872,53.63198653,95.6629399,17.16650916,NA,0,0,149.2949264,8.696871628,2018
80200,PI 225937,64.69980175,166.0309814,88.6322208,NA,0,0,230.7307831,2.603238202,2018
80201,PI 226043,627.6969058,625.3200691,192.7990241,NA,45.52441989,0,1298.541395,6.499083596,2018
80203,PI 226310,159.3210816,256.9038464,63.63765841,NA,32.73273045,0,448.9576585,6.540544363,2018
80209,PI 230723,144.6716794,324.0296497,297.9489963,NA,29.99968099,30.08265035,528.7836604,1.573092492,2018
80211,PI 234619,406.7951102,858.5919192,116.6224682,34.68973121,21.44818493,36.79459455,1323.629809,10.8502851,2018
80212,PI 234620,23.45264395,27.28679406,24.78008199,NA,0,0,50.739438,2.047589594,2018
80213,PI 234621,209.7341257,381.6831181,78.71162835,NA,16.53966653,0,607.9569102,7.513721366,2018
80224,PI 261614,63.60331125,151.1509117,27.07020772,NA,10.95028865,0,225.7045116,7.933231439,2018
80227,PI 261647,13.32820641,15.05394415,3.162846839,NA,0,0,28.38215056,8.973608905,2018
80229,PI 261649,123.8539098,352.5728857,77.16344442,8.168665276,34.80729159,67.05436427,578.2884513,6.174255167,2018
80230,PI 261650,30.0522346,55.63522322,7.458718064,NA,0,0,85.68745781,11.48822855,2018
80231,PI 261781,39.55932161,100.7649661,10.43773794,NA,0,0,140.3242877,13.44393665,2018
80232,PI 261782,384.0376411,535.4185778,48.78750274,11.89479439,33.09459169,38.92278789,991.4735984,18.8461423,2018
80235,PI 263019,192.0112617,160.7732298,65.21897708,NA,24.61260035,28.59139034,405.9884821,5.409230675,2018
80236,PI 263022,89.51225007,205.3027643,59.86569437,NA,16.18303762,32.07429414,343.0723461,4.924606946,2018
80237,PI 263023,422.4791454,626.7834382,147.6971409,NA,NA,29.49365587,NA,7.104149594,2018
80238,PI 263024,55.13548646,32.10998166,10.79890965,NA,0,0,87.24546812,8.079099741,2018
80240,PI 264232,6.797532598,9.037065614,3.717472885,NA,0,0,15.83459821,4.259506041,2018
80242,PI 264234,216.3921277,523.9998678,100.4499572,12.93304634,19.55894129,18.94662747,778.8975642,7.37075471,2018
80271,PI 276325,35.32563124,41.28378007,11.705463,NA,0,0,76.60941131,6.544757034,2018
80272,PI 277285,124.3887589,178.3080524,45.20826454,NA,7.853297977,17.32598479,327.876094,6.695607858,2018
80273,PI 277668,10.52881021,9.208268163,4.65484241,NA,0,0,19.73707837,4.240117416,2018
80275,PI 277709,34.02257791,25.35309828,5.511188984,NA,0,0,59.37567619,10.77365998,2018
